id_detail_reservasi,id_reservasi,id_kamar,jumlah_malam,harga_per_malam,subtotal
1,1,1,2,350000,700000
2,2,6,3,450000,1350000
3,3,11,2,600000,1200000
4,4,16,4,850000,3400000
5,5,21,2,1250000,2500000
6,6,2,1,350000,350000
7,6,3,1,350000,350000
8,7,7,2,450000,900000
9,8,12,3,600000,1800000
10,9,17,2,850000,1700000
11,10,22,3,1250000,3750000
12,11,4,2,350000,700000
13,11,8,2,450000,900000
14,12,13,1,600000,600000
15,13,18,3,850000,2550000
16,14,23,2,1250000,2500000
17,15,5,4,350000,1400000
18,16,9,2,450000,900000
19,16,14,2,600000,1200000
20,17,19,1,850000,850000
21,18,24,2,1250000,2500000
22,19,10,3,450000,1350000
23,20,15,2,600000,1200000
24,21,20,2,850000,1700000
25,22,25,1,1250000,1250000
26,22,1,1,350000,350000
