id_reservasi,id_tamu,id_pegawai,tanggal_reservasi,tanggal_checkin_rencana,tanggal_checkout_rencana,status_reservasi
1,1,1,5/1/2026,5/10/2026,5/12/2026,Selesai
2,2,1,5/2/2026,5/11/2026,5/14/2026,Selesai
3,3,2,5/3/2026,5/12/2026,5/14/2026,Selesai
4,4,4,5/4/2026,5/13/2026,5/17/2026,Selesai
5,5,7,5/5/2026,5/15/2026,5/17/2026,Selesai
6,6,1,5/6/2026,5/16/2026,5/17/2026,Selesai
7,7,2,5/7/2026,5/18/2026,5/20/2026,Selesai
8,8,4,5/8/2026,5/19/2026,5/22/2026,Selesai
9,9,7,5/9/2026,5/20/2026,5/22/2026,Selesai
10,10,1,5/10/2026,5/21/2026,5/24/2026,Selesai
11,11,2,5/11/2026,6/1/2026,6/3/2026,Check-in
12,12,4,5/12/2026,6/2/2026,6/3/2026,Check-in
13,13,7,5/13/2026,6/5/2026,6/8/2026,Dikonfirmasi
14,14,1,5/14/2026,6/6/2026,6/8/2026,Dikonfirmasi
15,15,2,5/15/2026,6/9/2026,6/13/2026,Dikonfirmasi
16,16,4,5/16/2026,6/10/2026,6/12/2026,Dikonfirmasi
17,17,7,5/17/2026,6/12/2026,6/13/2026,Dikonfirmasi
18,18,1,5/18/2026,6/14/2026,6/16/2026,Dikonfirmasi
19,19,2,5/19/2026,6/17/2026,6/20/2026,Menunggu
20,20,4,5/20/2026,6/18/2026,6/20/2026,Menunggu
21,3,7,5/21/2026,6/21/2026,6/23/2026,Dibatalkan
22,8,1,5/22/2026,6/24/2026,6/25/2026,Dikonfirmasi
