id_fasilitas,nama_fasilitas,deskripsi
1,Wi-Fi,Akses internet nirkabel di kamar dan area hotel.
2,AC,Pendingin ruangan pribadi di dalam kamar.
3,TV LED,Televisi LED dengan saluran lokal dan internasional.
4,Mini Bar,Lemari pendingin kecil untuk minuman dan makanan ringan.
5,Breakfast,Sarapan pagi untuk tamu hotel.
6,Kolam Renang,Akses kolam renang hotel.
7,Gym,Akses pusat kebugaran hotel.
8,Bathtub,Bak mandi pribadi di kamar.
9,Room Service,Layanan pemesanan makanan dan minuman ke kamar.
10,Laundry,Layanan pencucian pakaian tamu.
