id_checkin,id_reservasi,waktu_checkin,id_pegawai,catatan
1,1,5/10/2026 14:05,1,Tamu datang tepat waktu dan kamar siap digunakan.
2,2,5/11/2026 14:20,4,Check-in berjalan normal.
3,3,5/12/2026 15:10,1,Tamu meminta kamar bebas asap rokok.
4,4,5/13/2026 13:55,2,Tamu keluarga membawa dua anak.
5,5,5/15/2026 14:30,7,Tamu meminta tambahan bantal.
6,6,5/16/2026 16:00,4,Dua kamar standard digunakan untuk rombongan kecil.
7,7,5/18/2026 14:15,1,Check-in tanpa kendala.
8,8,5/19/2026 15:25,2,Tamu menitipkan koper di concierge.
9,9,5/20/2026 14:40,7,Tamu meminta late checkout jika memungkinkan.
10,10,5/21/2026 13:50,1,Tamu suite melakukan check-in lebih awal.
11,11,6/1/2026 14:10,4,Status reservasi berubah menjadi check-in.
12,12,6/2/2026 15:00,7,Tamu mengonfirmasi sarapan untuk dua orang.
