id_kamar,id_tipe_kamar,nomor_kamar,lantai,status_kamar
1,1,101,1,Tersedia
2,1,102,1,Dipesan
3,1,103,1,Terisi
4,1,104,1,Tersedia
5,1,105,1,Perawatan
6,2,201,2,Dipesan
7,2,202,2,Terisi
8,2,203,2,Tersedia
9,2,204,2,Tersedia
10,2,205,2,Dipesan
11,3,301,3,Terisi
12,3,302,3,Dipesan
13,3,303,3,Tersedia
14,3,304,3,Tersedia
15,3,305,3,Dipesan
16,4,401,4,Terisi
17,4,402,4,Dipesan
18,4,403,4,Tersedia
19,4,404,4,Tersedia
20,4,405,4,Dipesan
21,5,501,5,Terisi
22,5,502,5,Dipesan
23,5,503,5,Tersedia
24,5,504,5,Tersedia
25,5,505,5,Dipesan
